Year,Make,Model,Badge,Price when New,I'm Selling (Private),I'm Trading (Trade-in),Engine Size (L),Engine Size (cc),Engine Code,Power (kW),Torque (Nm),Fuel Type,Transmission,Number of Gears
2008,Lexus,LX570,Prestige,$136700,"$25,000 - $32,000","$20,000 - $25,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,6
2008,Lexus,LX570,Sports Luxury,$161700,"$28,000 - $35,000","$22,000 - $28,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,6
2009,Lexus,LX570,Prestige,$138000,"$28,000 - $36,000","$22,000 - $28,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,6
2009,Lexus,LX570,Sports Luxury,$163000,"$32,000 - $40,000","$25,000 - $32,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,6
2010,Lexus,LX570,Prestige,$140000,"$30,000 - $40,000","$24,000 - $32,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,6
2010,Lexus,LX570,Sports Luxury,$165000,"$35,000 - $45,000","$28,000 - $36,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,6
2011,Lexus,LX570,Prestige,$140000,"$32,000 - $42,000","$26,000 - $34,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,6
2011,Lexus,LX570,Sports Luxury,$165000,"$38,000 - $48,000","$30,000 - $38,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,6
2012,Lexus,LX570,Base,$140000,"$35,000 - $45,000","$28,000 - $36,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,6
2012,Lexus,LX570,with Enhancement Pack,$165000,"$42,000 - $52,000","$34,000 - $42,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,6
2013,Lexus,LX570,Base,$140000,"$40,000 - $50,000","$32,000 - $40,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,6
2013,Lexus,LX570,with Enhancement Pack,$165000,"$45,000 - $55,000","$36,000 - $45,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,6
2014,Lexus,LX570,Base,$140000,"$42,000 - $52,000","$34,000 - $42,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,6
2014,Lexus,LX570,with Enhancement Pack,$165000,"$50,000 - $60,000","$40,000 - $50,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,6
2015,Lexus,LX570,Base,$140500,"$48,000 - $60,000","$38,000 - $48,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,6
2015,Lexus,LX570,with Enhancement Pack,$165500,"$55,000 - $68,000","$45,000 - $55,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,6
2016,Lexus,LX570,Base,$140500,"$65,000 - $82,000","$52,000 - $65,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,8
2016,Lexus,LX570,with Enhancement Pack,$165500,"$75,000 - $90,000","$62,000 - $75,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,8
2017,Lexus,LX570,Base,$142000,"$78,000 - $92,000","$62,000 - $78,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,8
2017,Lexus,LX570,with Enhancement Pack,$167000,"$85,000 - $100,000","$70,000 - $85,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,8
2018,Lexus,LX570,Base,$143000,"$85,000 - $105,000","$72,000 - $85,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,8
2018,Lexus,LX570,with Enhancement Pack,$168000,"$95,000 - $115,000","$80,000 - $95,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,8
2018,Lexus,LX570,S,$168089,"$105,000 - $125,000","$90,000 - $105,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,8
2019,Lexus,LX570,Base,$146000,"$95,000 - $115,000","$82,000 - $95,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,8
2019,Lexus,LX570,with Enhancement Pack,$171000,"$110,000 - $130,000","$92,000 - $110,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,8
2019,Lexus,LX570,S,$168767,"$120,000 - $140,000","$102,000 - $120,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,8
2020,Lexus,LX570,Base,$146636,"$110,000 - $130,000","$95,000 - $110,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,8
2020,Lexus,LX570,with Enhancement Pack,$171636,"$125,000 - $145,000","$105,000 - $125,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,8
2020,Lexus,LX570,S,$168767,"$135,000 - $155,000","$115,000 - $135,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,8
2021,Lexus,LX570,Base,$146636,"$120,000 - $140,000","$105,000 - $120,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,8
2021,Lexus,LX570,with Enhancement Pack,$171636,"$135,000 - $155,000","$115,000 - $135,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,8
2021,Lexus,LX570,S,$168767,"$145,000 - $165,000","$125,000 - $145,000",5.7,5663,3UR-FE,270,530,Petrol,Automatic,8
